id,type,key,created_at,updated_at
1,note,fundamental-knowledge,Thu Jul 04 2019 19:12:54 GMT+0900 (GMT+09:00),Thu Jul 04 2019 20:17:54 GMT+0900 (GMT+09:00)
2,note,how-to-select-indoor-plants,Thu Jul 04 2019 20:16:17 GMT+0900 (GMT+09:00),Thu Jul 04 2019 20:16:17 GMT+0900 (GMT+09:00)
3,note,daily-care,Thu Jul 04 2019 20:18:14 GMT+0900 (GMT+09:00),Thu Jul 04 2019 20:20:36 GMT+0900 (GMT+09:00)
4,note,season-care,Thu Jul 04 2019 20:22:03 GMT+0900 (GMT+09:00),Thu Jul 04 2019 20:22:03 GMT+0900 (GMT+09:00)
5,note,how-to-enjoy,Thu Jul 04 2019 20:23:26 GMT+0900 (GMT+09:00),Thu Jul 04 2019 20:23:26 GMT+0900 (GMT+09:00)
6,note,how-to-increase,Thu Jul 04 2019 20:30:02 GMT+0900 (GMT+09:00),Thu Jul 04 2019 20:30:02 GMT+0900 (GMT+09:00)
7,note,pot,Thu Jul 04 2019 20:31:29 GMT+0900 (GMT+09:00),Thu Jul 04 2019 20:31:29 GMT+0900 (GMT+09:00)
8,note,soil,Thu Jul 04 2019 20:32:04 GMT+0900 (GMT+09:00),Thu Jul 04 2019 20:32:04 GMT+0900 (GMT+09:00)
